,COPEC,CMPC,CCU,ENEL,FALABELLA,RIPLEY
1993-11-01,-0.04652001563489261,-0.031962462846355066,0.14082922572391698,0.11167897363233337,,
1993-12-01,0.1857171457950928,0.186113142673614,0.1076324520610834,0.09596039114591104,,
1994-01-01,0.11715509215066344,0.2038682401877665,0.1045428815569478,0.13976194237515926,,
1994-02-01,0.09119023806459658,0.03795432327576709,-0.08434067107841425,0.05292240145434235,,
1994-03-01,-0.07622736538788466,-0.15415067982725805,-0.2231425369348754,-0.020834086902842053,,
1994-04-01,0.18067002875548166,0.031363089799043564,-0.08338050635398542,0.09626666003028195,,
1994-05-01,0.1600365120045204,0.14684624412998204,0.09826674529842006,0.17656890430450467,,
1994-06-01,0.04811924834419834,-0.07284881827119971,-0.09015166268712083,-0.013877905481486152,,
1994-07-01,0.07122750928836741,-0.022457051197586786,-0.0990915861901529,0.004215994569749526,,
1994-08-01,0.18492233849401174,0.20940396313874476,0.19904900399934888,0.04121026864666266,,
1994-09-01,-0.020998146839772858,-0.023304367296526962,-0.0147449273089304,0.08623467792145689,,
1994-10-01,0.1989813020351301,0.05505907428402512,0.08490884482006855,0.09245711082191921,,
1994-11-01,-0.039916607405443116,-0.008981087946586364,-0.027199870155600436,-0.018349138668196652,,
1994-12-01,0.04122010530888698,-0.008133578208695091,-0.042964047355537716,-0.08845542056186328,,
1995-01-01,0.07766840254690699,0.11889615873352888,-0.12175503426572742,-0.08753700118044438,,
1995-02-01,-0.06601275580784627,0.09969321996560776,-0.03933227324980315,-0.030426686630708133,,
1995-03-01,-0.048361071693420854,-0.05244085278454502,0.04208379795093009,-0.0465974479784208,,
1995-04-01,0.039740328649513934,0.04069232022723135,0.010931009144105275,0.08644335652562063,,
1995-05-01,-0.04879016416943216,0.013209342044534722,0.047752146144153684,-0.018928009885518904,,
1995-06-01,0.07020425867324853,-0.0014608094872210486,0.033124785088623376,0.04969966855227259,,
1995-07-01,0.03333642026759165,-0.02948525426024773,-0.048788384558259956,-0.11653381625595127,,
1995-08-01,-0.04184710993550045,-0.021416199227322075,-0.12903022777469708,-0.14916934947705407,,
1995-09-01,-0.08468308723003837,-0.03280264136372768,0.017801766221719362,0.03495501503357623,,
1995-10-01,-0.0598981415810691,-0.04047986703580442,0.1268920610226143,0.0987739865235131,,
1995-11-01,-0.07963126969200651,-0.06840806714888892,-0.08648210913430887,-0.08268277326097451,,
1995-12-01,-0.07205331764005773,-0.054558639164389966,0.057570933827235216,0.10253963931618504,,
1996-01-01,-0.04046286361318163,-0.07771548346780488,-0.14494653238327704,-0.0913350403033224,,
1996-02-01,-0.10462935141241747,-0.0286876009482242,0.023156795244431372,0.0027816429618772176,,
1996-03-01,-0.05813602658766914,-0.10282883218092032,0.01494457061854515,-0.053244514518812736,,
1996-04-01,0.09402894964827624,0.11727550143367615,-0.002972307895633186,0.015504186535965303,,
1996-05-01,0.006389798098770605,-0.059082782611127094,0.055067755925070294,-0.02729214228800725,,
1996-06-01,0.11990392722552112,0.07332371430659546,0.06799729432830048,0.11558474943368591,,
1996-07-01,-0.028655255760376086,0.06264806421522806,-0.005277989277729489,-0.05985467182514537,,
1996-08-01,-0.03852328199633526,-0.023025423098880893,-0.1640788090995713,-0.03229150463652353,,
1996-09-01,0.06151280022103389,0.011578981349142481,0.05222755547589841,-0.015564516541111573,,
1996-10-01,-0.03468555798789019,0.013344801030539699,-0.030031591715701467,0.003913899321136505,,
1996-11-01,-0.05744219112513527,-0.0686006543121227,-0.04362215893999455,-0.1088387800341506,,
1996-12-01,-0.05119164987765945,-0.07582166254509115,-0.16589118769210032,-0.08448053096934505,,
1997-01-01,0.07878087785311383,0.023795342186962998,0.014920735096145776,0.16760078171550674,0.09932076970545989,
1997-02-01,-0.01219527309381796,-0.03922962863010415,0.13815397425083198,0.021804629966852396,0.14708302661880968,
1997-03-01,-0.05161623965113549,-0.04312819835770565,0.031747880267479545,-0.0019627091678486863,0.01143601503262559,
1997-04-01,0.045462374076756795,-0.002326089585556801,0.11778021793346927,0.01752722570896026,0.01128422362309145,
1997-05-01,0.16467709281424625,0.13469814251027223,0.06193119315411888,0.15359895567533233,0.011180546242587575,
1997-06-01,0.11370258697522129,0.05534406085916643,-0.09010142606916283,0.027756883998663717,0.10536496295842568,
1997-07-01,-0.021252275659659148,0.009562764401082724,0.079552563508269,0.036367644170875124,0.039226101202511465,
1997-08-01,-0.061520010624203536,-0.06898577548873952,0.09799582547011276,-0.07410797215372167,-0.029269429677738934,
1997-09-01,-0.046761765908039266,-0.04166499654457834,0.09574822227762692,-0.030562650410167258,0.06699621621181429,
1997-10-01,-0.08894748601649649,-0.10064195917264751,-0.09097408838535426,-0.06776210210081857,-0.06699621621181429,
1997-11-01,-0.05681647504366083,-0.08083659559698386,0.06899126135859923,-0.037598413557007326,-0.034244606962199775,
1997-12-01,-0.08673169582433271,-0.057756532758181045,0.10536231900140614,-0.03509131981127034,-0.016539896168921153,
1998-01-01,-0.19176195057304213,-0.20972992837429238,-0.20334140137336654,-0.030213778596496432,-0.2336005876853573,
1998-02-01,0.09678728494733857,0.0692107429760842,0.16252042123244603,0.0936356050339926,0.11191419867889074,
1998-03-01,0.11490888052652082,0.24318090314886387,0.09151520525961043,0.0490561569891943,0.0459687114118017,
1998-04-01,-0.11122563511022499,-0.09326170184871252,-0.05069422511868993,-0.10654324790687575,-0.0578107369204508,
1998-05-01,-0.07241257756847652,-0.06498919893106869,-0.16016642813032878,-0.08004270767353638,-0.05630528800678558,
